Store ID,Product ID,Category,Inventory Level,Demand Forecast,risk_status,reorder_trigger,recommended_order_qty
S002,P0002,Groceries,364,43.42,Excess Inventory,False,0.0
S002,P0001,Clothing,415,27.2,Excess Inventory,False,0.0
S001,P0020,Electronics,242,50.82,Excess Inventory,False,0.0
S001,P0018,Electronics,191,25.01,Excess Inventory,False,0.0
S001,P0017,Toys,282,201.4,Balanced,False,0.0
S001,P0016,Electronics,74,27.53,Excess Inventory,False,0.0
S001,P0015,Electronics,356,255.33,Balanced,False,0.0
S001,P0013,Groceries,356,225.48,High Inventory,False,0.0
S003,P0013,Groceries,388,131.32,Excess Inventory,False,0.0
S001,P0012,Electronics,213,61.33,Excess Inventory,False,0.0
S001,P0011,Electronics,449,33.03,Excess Inventory,False,0.0
S001,P0010,Furniture,167,86.62,High Inventory,False,0.0
S001,P0009,Electronics,167,28.21,Excess Inventory,False,0.0
S001,P0008,Electronics,315,226.38,Balanced,False,0.0
S001,P0007,Clothing,256,25.06,Excess Inventory,False,0.0
S001,P0006,Electronics,305,91.48,Excess Inventory,False,0.0
S001,P0005,Groceries,471,266.62,High Inventory,False,0.0
S001,P0004,Groceries,338,192.43,High Inventory,False,0.0
S002,P0005,Toys,464,198.35,Excess Inventory,False,0.0
S002,P0007,Toys,53,0.0,Excess Inventory,False,0.0
S002,P0008,Furniture,218,51.52,Excess Inventory,False,0.0
S002,P0009,Electronics,62,38.26,High Inventory,False,0.0
S001,P0002,Furniture,217,101.47,Excess Inventory,False,0.0
S003,P0009,Furniture,496,13.36,Excess Inventory,False,0.0
S003,P0008,Furniture,103,82.87,Balanced,False,0.0
S003,P0006,Furniture,451,372.01,Balanced,False,0.0
S003,P0005,Electronics,411,298.09,Balanced,False,0.0
S003,P0004,Groceries,415,54.9,Excess Inventory,False,0.0
S003,P0003,Groceries,112,0.58,Excess Inventory,False,0.0
S003,P0002,Groceries,388,234.86,High Inventory,False,0.0
S003,P0001,Clothing,138,119.97,Balanced,False,0.0
S002,P0020,Groceries,284,222.74,Balanced,False,0.0
S002,P0019,Furniture,409,230.12,High Inventory,False,0.0
S002,P0018,Groceries,151,33.33,Excess Inventory,False,0.0
S002,P0017,Toys,236,4.01,Excess Inventory,False,0.0
S002,P0016,Toys,258,107.61,Excess Inventory,False,0.0
S002,P0015,Toys,433,186.13,Excess Inventory,False,0.0
S002,P0013,Electronics,472,27.31,Excess Inventory,False,0.0
S002,P0012,Electronics,193,139.71,Balanced,False,0.0
S002,P0011,Groceries,156,53.05,Excess Inventory,False,0.0
S002,P0010,Toys,419,346.37,Balanced,False,0.0
S005,P0020,Groceries,117,2.33,Excess Inventory,False,0.0
